,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
0,SW6 2DJ,525608,177141,2164585,275000,1997-05-20 00:00,T,864082800.0,1997.0,277.0,38.0,14.0,27.0,2.0,54.0,117.0,25.0,51.479289,-0.19263,E00009608
1,SL1 5JA,494325,180664,2989979,62500,1998-01-30 00:00,F,886118400.0,1998.0,266.0,52.0,39.0,39.0,7.0,39.0,67.0,23.0,51.517033,-0.641997,E00083175
2,KT4 8PQ,523570,166102,20051655,365000,2014-03-26 00:00,S,1395792000.0,2014.0,229.0,35.0,33.0,46.0,10.0,37.0,61.0,7.0,51.380482,-0.22574,E00021124
3,SE9 4ET,542357,173232,12953421,220000,2006-04-07 00:00,S,1144364400.0,2006.0,196.0,45.0,30.0,38.0,4.0,23.0,39.0,17.0,51.440201,0.046844,E00007934
4,UB4 9RW,512087,182344,21632636,320000,2016-05-11 00:00,T,1462921200.0,2016.0,238.0,59.0,33.0,35.0,6.0,27.0,55.0,23.0,51.528883,-0.385595,E00176457
5,CR4 1LG,529654,168070,12888233,230000,2006-12-20 00:00,T,1166572800.0,2006.0,284.0,54.0,37.0,50.0,8.0,37.0,77.0,21.0,51.396858,-0.137704,E00017364
6,AL1 1QF,515086,206724,4328083,150000,1999-10-21 00:00,T,940460400.0,1999.0,224.0,32.0,26.0,29.0,3.0,17.0,104.0,13.0,51.747386,-0.334417,E00120560
7,KT9 1RT,518402,164784,19706893,270000,2014-01-17 00:00,S,1389916800.0,2014.0,242.0,50.0,26.0,43.0,9.0,31.0,71.0,12.0,51.369791,-0.300472,E00014813
8,SL7 1LA,485713,187120,18112912,293000,2012-05-31 00:00,T,1338418800.0,2012.0,259.0,36.0,30.0,42.0,10.0,34.0,98.0,9.0,51.576421,-0.764552,E00090285
9,SL2 1QY,495570,182431,10978222,154950,2004-10-01 00:00,T,1096585200.0,2004.0,250.0,83.0,45.0,43.0,6.0,21.0,32.0,20.0,51.532707,-0.623581,E00083106
10,SL6 8RX,489301,182291,8510810,180000,2002-04-26 00:00,T,1019775600.0,2002.0,293.0,47.0,26.0,45.0,7.0,42.0,110.0,16.0,51.532474,-0.71397,E00083720
11,BR8 7TS,550716,169334,7185480,93500,2001-06-01 00:00,T,991350000.0,2001.0,206.0,111.0,33.0,20.0,3.0,14.0,15.0,10.0,51.403016,0.165368,E00124254
12,LU3 3RU,506258,225476,18611380,113500,2013-12-12 00:00,T,1386806400.0,2013.0,225.0,80.0,37.0,41.0,2.0,18.0,31.0,16.0,51.917638,-0.456476,E00079744
