,postcode,easting,northing,Unnamed: 0,price,date,type,seconds,years,QS501EW_0,QS501EW_1,QS501EW_2,QS501EW_3,QS501EW_4,QS501EW_5,QS501EW_6,QS501EW_7,lat,lon,oa
0,IG9 6AQ,541930,194428,8572832,312500,2002-08-30 00:00,S,1030662000.0,2002.0,270.0,47.0,34.0,35.0,10.0,43.0,89.0,12.0,51.630768,0.049242,E00110441
1,HA7 2PU,517149,191267,10090182,302500,2004-06-30 00:00,S,1088550000.0,2004.0,293.0,38.0,31.0,39.0,7.0,35.0,129.0,14.0,51.608051,-0.309685,E00010575
2,HA3 0UT,518045,188696,9670557,225000,2003-11-28 00:00,S,1069977600.0,2003.0,358.0,54.0,46.0,40.0,4.0,39.0,128.0,47.0,51.584776,-0.297615,E00002629
3,EN7 6BG,534288,204039,14249034,360500,2007-12-12 00:00,D,1197417600.0,2007.0,337.0,52.0,63.0,86.0,21.0,44.0,60.0,11.0,51.719007,-0.057409,E00118422
4,TW4 7QA,511369,176354,371194,70000,1995-09-01 00:00,T,809910000.0,1995.0,264.0,46.0,15.0,14.0,5.0,31.0,101.0,52.0,51.475196,-0.397816,E00012861
5,TW4 7QA,511369,176354,17568882,210000,2011-01-21 00:00,T,1295568000.0,2011.0,264.0,46.0,15.0,14.0,5.0,31.0,101.0,52.0,51.475196,-0.397816,E00012861
6,CM3 8HX,573918,197468,1332976,215000,1996-06-05 00:00,D,833929200.0,1996.0,320.0,70.0,46.0,53.0,9.0,37.0,90.0,15.0,51.649078,0.512501,E00109741
7,DA6 8JL,548048,174812,1490872,58000,1996-07-05 00:00,T,836521200.0,1996.0,263.0,51.0,39.0,55.0,7.0,36.0,66.0,9.0,51.45294,0.129327,E00001779
8,SE6 1BS,538847,173295,14525705,265000,2007-12-13 00:00,T,1197504000.0,2007.0,248.0,41.0,42.0,39.0,3.0,26.0,72.0,25.0,51.441637,-0.003599,E00016287
9,SE6 1BS,538847,173295,10469651,182000,2004-05-05 00:00,T,1083711600.0,2004.0,248.0,41.0,42.0,39.0,3.0,26.0,72.0,25.0,51.441637,-0.003599,E00016287
10,CR3 5LU,532804,156579,8413425,170000,2002-12-06 00:00,T,1039132800.0,2002.0,174.0,41.0,27.0,28.0,8.0,23.0,41.0,6.0,51.292864,-0.096735,E00157264
11,SM2 7JL,523794,163009,11169210,250000,2004-04-06 00:00,T,1081206000.0,2004.0,266.0,39.0,28.0,46.0,4.0,21.0,115.0,13.0,51.352724,-0.223523,E00155041
12,CM3 4QN,578944,205050,6488295,225000,2001-06-29 00:00,D,993769200.0,2001.0,256.0,66.0,27.0,52.0,7.0,23.0,74.0,7.0,51.715694,0.588958,E00109574
13,W14 0SR,524205,178670,4812030,210000,1999-04-12 00:00,F,923871600.0,1999.0,277.0,41.0,29.0,23.0,2.0,23.0,128.0,31.0,51.49334,-0.212271,E00009318
14,SL4 4LD,493686,176346,16740451,235000,2010-11-19 00:00,T,1290124800.0,2010.0,247.0,76.0,47.0,25.0,9.0,19.0,57.0,14.0,51.478325,-0.652348,E00083591
15,HA4 6UN,511483,185019,19228800,350000,2014-05-22 00:00,S,1400713200.0,2014.0,271.0,59.0,47.0,38.0,13.0,27.0,63.0,24.0,51.55308,-0.393437,E00012438
16,HA4 6UN,511483,185019,1367143,78950,1996-07-05 00:00,S,836521200.0,1996.0,271.0,59.0,47.0,38.0,13.0,27.0,63.0,24.0,51.55308,-0.393437,E00012438
17,BR3 4DY,535787,168629,15983402,300100,2009-10-19 00:00,T,1255906800.0,2009.0,183.0,43.0,19.0,23.0,5.0,28.0,55.0,10.0,51.400448,-0.049386,E00003414
18,CM2 7QG,572329,205488,21352643,395000,2016-07-28 00:00,S,1469660400.0,2016.0,234.0,34.0,36.0,47.0,13.0,28.0,72.0,4.0,51.721626,0.493528,E00109532
19,SL9 7DT,500418,187504,883091,115000,1996-06-14 00:00,S,834706800.0,1996.0,232.0,27.0,25.0,33.0,3.0,22.0,109.0,13.0,51.577465,-0.55225,E00089906
